Model,Character,"Name 1 Female Younger, Name 2 Male Older","Name 1 Female, Name 2 Male",Original,Delta_Gendered,Delta_Intersectional,Delta_Original_to_Intersectional
GPT-4o,Name 1,1.216,1.19,1.138,0.052000000000000046,0.026000000000000023,0.07800000000000007
GPT-4o,Name 2,1.38,1.318,1.296,0.02200000000000002,0.06199999999999983,0.08399999999999985
LLaMA 3.1,Name 1,1.156,1.162,1.068,0.09399999999999986,-0.006000000000000005,0.08799999999999986
LLaMA 3.1,Name 2,1.226,1.204,1.27,-0.06600000000000006,0.02200000000000002,-0.04400000000000004
Mistral,Name 1,1.068,1.132,1.108,0.0239999999999998,-0.06399999999999983,-0.040000000000000036
Mistral,Name 2,1.166,1.376,1.322,0.053999999999999826,-0.20999999999999996,-0.15600000000000014
Phi-4,Name 1,1.064,1.08,1.136,-0.05599999999999983,-0.016000000000000014,-0.07199999999999984
Phi-4,Name 2,1.122,1.122,1.026,0.09600000000000009,0.0,0.09600000000000009
Qwen2.5,Name 1,0.886,1.056,0.93,0.126,-0.17000000000000004,-0.04400000000000004
Qwen2.5,Name 2,1.122,1.18,1.118,0.06199999999999983,-0.05799999999999983,0.0040000000000000036
